bbsName, bbsSysop, newLogin, TelnetAddress, bbsPort, sshPort, WebAddress, location, Modem, software
0Day BBS,,NEW,65.108.245.243,23,,,"Helsinki, , Finland",,"Enigma 1/2"
0xDECAFBAD BBS,,NEW,bbs.decafbad.com,6523,,,"Seattle, WA, USA",,"Synchronet"
13th Floor BBS,Hoy Brothers,new,13th.hoyvision.com,6400,,,"Oak Ridge, TN, USA",,"Image BBS"
13th Leader BBS,pjones1063,,13leader.net,8023,,http://13leader.net,"Vineland, Ontario, Canada",,"Mystic"
20 For Beers BBS,paul lee,Desired Handle,20forbeers.com,1337,1338,http://20forbeers.com:1339,"Portland, OR, USA",,"Mystic"
300 F-ing Baud BBS,Gary Crunk,,300baud.dynu.net,2525,,,"Eloy, AZ, USA",,"RYBBS"
32-Bit BBS,Xbit Ops,Real Name,x-bit.org,23230,,http://x-bit.org/info/ftelnet/32bit_bbs.html,"Forest Grove, OR, USA",,"Spitfire"
4 Wheel Ham BBS,w7jpj,NEW,bbs.4wheelham.com,,2222,http://4wheelham.com,"Littleton, CO, USA",,"Synchronet"
4D Telephonics,,Apply,45.77.78.120,8888,,,"Piscataway, NJ, USA",,"Enigma 1/2"
4D2 Dot Org,,NEW,bbs.4d2.org,,,,"Portland, OR, USA",,"Synchronet"
64 Vintage BBS,,,64vintageremixbbs.dyndns.org,6400,,http://www.digitaldial.us,"Miami, FL, USA",,"Color 64"
68k Mac Club,Vaelen,new,bbs.m68k.club,,,http://m68k.club,"Machida, Tokyo, Japan",,"SubText"
8-Bit Archive,,NEW,bbs.8-bitarchive.com,2223,,,"Vancouver, BC, Canada",,"Synchronet"
8-Bit Boyz BBS,Shane O'Neill,Desired Handle,bbs.8bitboyz.com,6502,,http://8bitboyz.com,"Rio Rancho, NM, USA",,"Mystic"
8-Bit Playground,Hoy Brothers,,8bit.hoyvision.com,6400,,http://www.hoyvision.com,"Antioch, TN, USA",,"CNet DS2"
8Bit Club BBS,,NEW,bbs.8bitclub.com,6502,,,"Burgas, , Bulgaria",,"Synchronet"
A-Net Online (Game Server),StingRay,NEW,game.a-net-online.lol,513,,http://a-net-online.lol/gameserver,", GA, USA",,"Synchronet"
A-Net Online (Mystic),StingRay,Desired Handle,mystic-anet.online,,22,http://a-net.fyi,"Woodstock , GA, USA",,"Mystic"
